From,To,Year of order,Duration,Quantity,Weapon description,Weight
China,Bangladesh,2014.0,1,2.0,corvette,5.0
Russia,Bangladesh,2017.0,1,5.0,transport helicopter,3.0
Canada,Bangladesh,2016.0,1,2.0,aircraft engine,2.0
Spain,Bangladesh,2016.0,1,1.0,transport aircraft,3.0
China,Bangladesh,1993.0,1,1.0,minesweeper,2.0
Canada,Bangladesh,2020.0,1,2.0,aircraft engine,2.0
United Kingdom,Bangladesh,2019.0,2,2.0,transport aircraft,3.0
United States,Bangladesh,2018.0,1,50.0,APC,3.0
Switzerland,Bangladesh,2017.0,1,4.0,anti-aircraft gun,3.0
Germany,Bangladesh,2017.0,2,2.0,maritime patrol aircraft,3.0
Canada,Bangladesh,2022.0,1,0.0,landing craft,3.0
Russia,Belarus,2015.0,1,4.0,trainer/combat aircraft,5.0
Russia,Belarus,2017.0,1,4.0,mobile SAM system,5.0
Russia,Belarus,2017.0,1,4.0,FGA aircraft,8.0
Ukraine,Belarus,2005.0,2,10.0,trainer aircraft,2.0
Russia,Belarus,2015.0,1,4.0,trainer/combat aircraft,5.0
Russia,Belarus,2015.0,2,12.0,transport helicopter,3.0
France,Belgium,2023.0,1,0.0,anti-tank missile,5.0
France,Belgium,2019.0,1,0.0,armoured car,3.0
France,Belgium,2019.0,1,0.0,APC,3.0
United States,Belgium,2018.0,1,1.0,FGA aircraft,8.0
France,Belgium,1996.0,1,14.0,towed gun,3.0
Spain,Belgium,2003.0,3,6.0,transport aircraft,3.0
Italy,Belgium,2023.0,1,0.0,naval gun,3.0
United Kingdom,Belgium,1973.0,1,4.0,ship engine,2.0
Sweden,Belgium,1998.0,1,1.0,patrol craft,2.0
Singapore,Belgium,1997.0,2,2.0,transport aircraft,3.0
Italy,Belgium,1992.0,1,9.0,trainer aircraft,2.0
United Kingdom,Belgium,1955.0,1,12.0,fighter aircraft,8.0
United States,Belgium,1979.0,1,1.0,air search radar,3.0
United States,Belgium,1958.0,1,2.0,transport aircraft,3.0
United States,Belgium,1975.0,2,5.0,SSM launcher,5.0
France,Belgium,2013.0,2,2.0,patrol craft,2.0
France,Belgium,2001.0,2,4.0,MP aircraft radar,3.0
France,Belgium,2019.0,1,0.0,MCM ship,3.0
United States,Belgium,1957.0,1,6.0,transport aircraft,3.0
United States,Belgium,2007.0,1,1.0,transport aircraft,3.0
Sweden,Belgium,2020.0,1,0.0,UAV,3.0
Denmark,Belgium,2021.0,1,0.0,air/sea search radar,3.0
United States,Belgium,2023.0,1,0.0,naval SAM system,5.0
United States,Belgium,1973.0,1,4.0,naval SAM system,5.0
Netherlands,Belgium,2023.0,1,0.0,frigate,5.0
Netherlands,Belgium,2005.0,2,2.0,frigate,5.0
United States,Belgium,2011.0,1,180.0,guided bomb,5.0
United States,Belgium,1975.0,7,116.0,FGA aircraft,8.0
United Kingdom,Belgium,1974.0,1,3.0,transport aircraft,3.0
United States,Belgium,1975.0,1,6.0,light transport aircraft,2.0
France,Belgium,2022.0,1,0.0,self-propelled gun,5.0
Germany,Belgium,2001.0,3,4.0,ASW helicopter,5.0
United Kingdom,Belgium,1974.0,1,5.0,transport helicopter,3.0
Portugal,Belgium,2014.0,1,1.0,transport aircraft,3.0
Netherlands,Belgium,2018.0,1,9.0,ground surv radar,3.0
United Kingdom,Belgium,1975.0,2,12.0,light transport aircraft,2.0
Portugal,Belgium,2009.0,1,1.0,transport aircraft,3.0
France,Belgium,2007.0,3,4.0,transport helicopter,3.0
France,Belgium,1973.0,1,4.0,naval gun,3.0
France,Belgium,1973.0,1,4.0,ASW MRL,3.0
Germany,Belgium,2023.0,1,0.0,ship engine,2.0
United Kingdom,Belgium,1950.0,1,1.0,transport ship,2.0
France,Belgium,1969.0,1,18.0,FGA aircraft,8.0
United States,Belgium,2020.0,1,0.0,UAV,3.0
France,Belgium,2023.0,1,0.0,self-propelled gun,5.0
United Kingdom,Belize,1996.0,1,1.0,trainer aircraft,2.0
Taiwan,Belize,2015.0,1,2.0,helicopter,3.0
United States,Belize,2022.0,1,1.0,light transport aircraft,2.0
Belgium,Benin,2007.0,2,4.0,light helicopter,2.0
Belgium,Benin,2002.0,1,2.0,transport aircraft,3.0
France,Benin,1983.0,1,1.0,light helicopter,2.0
France,Benin,1985.0,1,1.0,light helicopter,2.0
France,Benin,1982.0,1,3.0,transport aircraft,3.0
Jordan,Benin,2023.0,1,3.0,transport helicopter,3.0
France,Benin,1984.0,1,1.0,light helicopter,2.0
Soviet Union,Benin,1978.0,1,2.0,FAC,3.0
Spain,Benin,2022.0,1,2.0,light helicopter,2.0
India,Bhutan,1968.0,1,1.0,helicopter,3.0
Thailand,Bhutan,2021.0,1,15.0,APC,3.0
Sweden,Biafra,1969.0,1,5.0,trainer aircraft,2.0
United States,Biafra,1967.0,1,1.0,bomber aircraft,8.0
China,Bolivia,2018.0,1,10.0,APV,3.0
China,Bolivia,1992.0,1,18.0,towed gun,3.0
Brazil,Bolivia,1985.0,1,6.0,trainer aircraft,2.0
France,Bolivia,1974.0,1,3.0,light helicopter,2.0
United States,Bolivia,1985.0,1,6.0,helicopter,3.0
Uruguay,Bolivia,1960.0,1,8.0,fighter aircraft,8.0
Brazil,Bolivia,1974.0,1,18.0,trainer aircraft,2.0
France,Bolivia,1978.0,1,2.0,light helicopter,2.0
France,Bolivia,2008.0,1,2.0,light helicopter,2.0
Switzerland,Bolivia,1979.0,1,12.0,trainer aircraft,2.0
Spain,Bolivia,2006.0,2,3.0,transport aircraft,3.0
Venezuela,Bolivia,2006.0,1,2.0,light helicopter,2.0
Venezuela,Bolivia,2006.0,1,2.0,transport helicopter,3.0
Brazil,Bolivia,2005.0,1,6.0,trainer aircraft,2.0
United States,Bolivia,1993.0,1,1.0,transport aircraft,3.0
Brazil,Bolivia,1981.0,2,6.0,light helicopter,2.0
United States,Bolivia,1960.0,1,2.0,trainer aircraft,2.0
Brazil,Bolivia,2011.0,1,4.0,helicopter,3.0
United States,Bolivia,1965.0,1,2.0,trainer aircraft,2.0
United States,Bolivia,1979.0,1,3.0,helicopter,3.0
France,Bolivia,1984.0,2,18.0,trainer aircraft,2.0
France,Bolivia,2013.0,3,6.0,transport helicopter,3.0
China,Bolivia,2015.0,1,31.0,APV,3.0
Nicaragua,Bolivia,1989.0,1,1.0,transport aircraft,3.0
Canada,Bolivia,1977.0,1,5.0,trainer aircraft,2.0
China,Bolivia,2012.0,1,6.0,helicopter,3.0
Venezuela,Bolivia,2004.0,1,8.0,trainer aircraft,2.0
United States,Bolivia,1968.0,1,2.0,light transport aircraft,2.0
Uruguay,Bolivia,2000.0,1,11.0,trainer aircraft,2.0
Germany,Bolivia,2014.0,1,2.0,light helicopter,2.0
United Kingdom,Bolivia,2016.0,1,1.0,air search radar,3.0
Germany,Bolivia,2011.0,1,2.0,light helicopter,2.0
Egypt,Bosnia-Herzegovina,1996.0,1,12.0,towed gun,3.0
Egypt,Bosnia-Herzegovina,1996.0,1,12.0,towed gun,3.0
United States,Bosnia-Herzegovina,1996.0,1,15.0,helicopter,3.0
United States,Bosnia-Herzegovina,1996.0,1,80.0,APC,3.0
United States,Bosnia-Herzegovina,1996.0,1,45.0,tank,8.0
United States,Bosnia-Herzegovina,2019.0,1,4.0,helicopter,3.0
UAE,Bosnia-Herzegovina,1996.0,1,36.0,towed gun,3.0
France,Botswana,1997.0,1,20.0,tank turret,2.0
Austria,Botswana,2000.0,1,2.0,APC,3.0
Austria,Botswana,1997.0,1,20.0,light tank,5.0
Switzerland,Botswana,1989.0,1,7.0,trainer aircraft,2.0
United States,Botswana,1989.0,1,100.0,anti-tank missile,5.0
Spain,Botswana,1986.0,2,2.0,transport aircraft,3.0
United Kingdom,Botswana,1984.0,1,2.0,light transport aircraft,2.0
United Kingdom,Botswana,1980.0,1,6.0,trainer aircraft,2.0
United Kingdom,Botswana,1978.0,1,2.0,light transport aircraft,2.0
United States,Botswana,2008.0,2,4.0,aircraft engine,2.0
Spain,Botswana,2008.0,2,2.0,transport aircraft,3.0
Spain,Botswana,1992.0,1,2.0,transport aircraft,3.0
Spain,Botswana,2016.0,1,1.0,transport helicopter,3.0
Switzerland,Botswana,2011.0,1,5.0,trainer aircraft,2.0
Canada,Botswana,1996.0,2,13.0,FGA aircraft,8.0
France,Brazil,2022.0,1,0.0,light helicopter,2.0
United Kingdom,Brazil,1997.0,1,4.0,minesweeper,2.0
United Kingdom,Brazil,1994.0,1,3.0,minesweeper,2.0
Belgium,Brazil,2000.0,1,2.0,ARV,2.0
United Kingdom,Brazil,2018.0,1,1.0,AALS,1.0
France,Brazil,2012.0,2,3.0,anti-ship helicopter,5.0
Ireland,Brazil,2022.0,1,1.0,transport aircraft,3.0
United Kingdom,Brazil,2020.0,1,0.0,air search radar,3.0
France,Brazil,2009.0,1,1.0,submarine,8.0
United States,Brazil,2020.0,1,8.0,APV,3.0
France,Brazil,2005.0,3,12.0,FGA aircraft,8.0
Sweden,Brazil,2021.0,1,50.0,portable SAM,3.0
Israel,Brazil,2014.0,1,1.0,UAV,3.0
France,Brazil,2009.0,1,1.0,patrol craft,2.0
Germany,Brazil,2010.0,1,4.0,ship engine,2.0
Germany,Brazil,1994.0,1,2.0,ship engine,2.0
Germany,Brazil,1981.0,4,8.0,ship engine,2.0
Germany,Brazil,2011.0,2,6.0,ship engine,2.0
Denmark,Brazil,2011.0,2,3.0,air/sea search radar,3.0
United States,Brazil,2006.0,3,6.0,transport helicopter,3.0
France,Brazil,2000.0,1,8.0,transport helicopter,3.0
Austria,Brazil,2000.0,1,1.0,ARV,2.0
United States,Brazil,1972.0,1,8.0,ASW aircraft,5.0
United States,Brazil,1989.0,2,5.0,light transport aircraft,2.0
United States,Brazil,1972.0,2,3.0,destroyer,8.0
Italy,Brazil,1995.0,1,18.0,towed gun,3.0
United States,Brazil,1994.0,1,6.0,ASW helicopter,5.0
France,Brazil,1987.0,2,6.0,FGA aircraft,8.0
United Kingdom,Brazil,1994.0,3,4.0,frigate,5.0
United States,Brazil,1994.0,1,1.0,landing ship,5.0
Netherlands,Brazil,1993.0,1,3.0,towed gun,3.0
Germany,Brazil,1973.0,1,2.0,minesweeper,2.0
United Kingdom,Brazil,1991.0,1,4.0,towed gun,3.0
United States,Brazil,1987.0,1,3.0,light transport aircraft,2.0
United States,Brazil,1972.0,2,5.0,submarine,8.0
United Kingdom,Brazil,1965.0,1,3.0,helicopter,3.0
United States,Brazil,1973.0,1,2.0,destroyer,8.0
United States,Brazil,1967.0,3,3.0,destroyer,8.0
Germany,Brazil,1969.0,2,4.0,minesweeper,2.0
United States,Brazil,1985.0,1,16.0,light helicopter,2.0
United States,Brazil,1964.0,1,14.0,light transport aircraft,2.0
Canada,Brazil,1967.0,2,6.0,transport aircraft,3.0
United States,Brazil,1967.0,1,5.0,transport aircraft,3.0
United States,Brazil,1957.0,1,5.0,light helicopter,2.0
United States,Brazil,1960.0,1,6.0,ASW helicopter,5.0
United States,Brazil,1964.0,1,5.0,transport aircraft,3.0
United States,Brazil,1966.0,1,20.0,light aircraft,2.0
United Kingdom,Brazil,1972.0,1,1.0,submarine,8.0
United Kingdom,Brazil,1969.0,2,2.0,submarine,8.0
France,Brazil,1980.0,1,3.0,FGA aircraft,8.0
United States,Brazil,1977.0,1,2.0,tanker/transport aircraft,3.0
United Kingdom,Brazil,1975.0,2,9.0,ASW helicopter,5.0
Germany,Brazil,2011.0,1,2.0,ARV,2.0
Germany,Brazil,2011.0,1,1.0,AEV,2.0
Italy,Brazil,2011.0,2,3.0,combat aircraft radar,3.0
United States,Brazil,1973.0,1,1.0,support ship,2.0
Germany,Brazil,1994.0,2,2.0,patrol craft,2.0
Germany,Brazil,1998.0,1,2.0,patrol craft,2.0
Germany,Brazil,1993.0,1,2.0,patrol craft,2.0
United Kingdom,Brazil,1970.0,5,6.0,frigate,5.0
Germany,Brazil,1967.0,1,1.0,ship engine,2.0
Finland,Brazil,1987.0,1,2.0,ship engine,2.0
Germany,Brazil,2006.0,1,4.0,armoured bridgelayer,2.0
Germany,Brazil,2006.0,1,4.0,AEV,2.0
United Kingdom,Brazil,2008.0,1,1.0,landing ship,5.0
Switzerland,Brazil,2007.0,1,5.0,APC,3.0
United Kingdom,Brazil,2007.0,1,1.0,landing ship,5.0
United States,Brazil,1960.0,2,4.0,minesweeper,2.0
United States,Brazil,1997.0,1,4.0,transport helicopter,3.0
United States,Brazil,1956.0,2,28.0,bomber aircraft,8.0
France,Brazil,2009.0,1,0.0,nuclear submarine,13.0
Singapore,Brazil,1996.0,2,2.0,patrol craft,2.0
Singapore,Brazil,1987.0,3,4.0,patrol craft,2.0
Russia,Brazil,2009.0,3,12.0,combat helicopter,5.0
Israel,Brazil,2021.0,1,0.0,anti-tank missile,5.0
United States,Brazil,2013.0,1,4.0,self-propelled gun,5.0
France,Brazil,1981.0,1,2.0,ship engine,2.0
Germany,Brazil,1995.0,1,1.0,submarine,8.0
United States,Brazil,1968.0,2,7.0,light helicopter,2.0
France,Brazil,2015.0,1,1.0,AALS,1.0
Spain,Brazil,2014.0,2,2.0,transport aircraft,3.0
France,Brazil,2000.0,1,1.0,aircraft carrier,13.0
United States,Brazil,2018.0,1,40.0,ALV,1.0
United States,Brazil,1963.0,1,12.0,APC,3.0
United States,Brazil,2015.0,1,4.0,ARV,2.0
United States,Brazil,1974.0,1,3.0,transport aircraft,3.0
United States,Brazil,2016.0,1,1.0,transport aircraft,3.0
Germany,Brazil,2020.0,1,0.0,frigate,5.0
United States,Brazil,2013.0,1,2.0,ASW helicopter,5.0
Israel,Brazil,2014.0,2,2.0,MP aircraft radar,3.0
United States,Brazil,1989.0,1,4.0,frigate,5.0
Germany,Brazil,1984.0,4,4.0,submarine,8.0
United States,Brazil,2021.0,1,0.0,ASW torpedo,5.0
United States,Brazil,1974.0,2,3.0,landing craft,3.0
Italy,Brazil,2019.0,1,32.0,APV,3.0
Italy,Brazil,1981.0,1,1.0,air search radar,3.0
United States,Brazil,1963.0,1,2.0,submarine,8.0
United States,Brazil,1989.0,2,2.0,AALS,1.0
United States,Brazil,1952.0,1,3.0,light helicopter,2.0
United States,Brazil,1961.0,1,11.0,ASW aircraft,5.0
Kuwait,Brazil,1998.0,1,23.0,FGA aircraft,8.0
United States,Brazil,1969.0,1,3.0,bomber aircraft,8.0
United Kingdom,Brazil,2011.0,2,3.0,OPV,2.0
United States,Brazil,1995.0,1,14.0,APC,3.0
United States,Brazil,1991.0,1,12.0,APC,3.0
United Kingdom,Brazil,1973.0,1,6.0,transport aircraft,3.0
United Kingdom,Brazil,1957.0,1,2.0,light helicopter,2.0
Canada,Brazil,2018.0,1,2.0,aircraft engine,2.0
France,Brazil,2006.0,2,2.0,patrol craft,2.0
Spain,Brazil,2018.0,1,1.0,transport aircraft,3.0
France,Brazil,1985.0,1,6.0,transport helicopter,3.0
United Kingdom,Brazil,1956.0,1,1.0,aircraft carrier,13.0
France,Brazil,2005.0,1,22.0,SRAAM,5.0
United States,Brazil,2018.0,1,4.0,ARV,2.0
United States,Brazil,2002.0,4,9.0,ASW aircraft,5.0
United States,Brazil,1996.0,1,91.0,tank,8.0
Canada,Brazil,2014.0,2,4.0,aircraft engine,2.0
Sweden,Brazil,2015.0,3,8.0,FGA aircraft,8.0
Austria,Brazil,2000.0,1,17.0,light tank,5.0
United States,Brazil,2018.0,1,20.0,APC,3.0
United States,Brazil,2015.0,1,46.0,APC,3.0
United Kingdom,Brazil,1993.0,2,9.0,ASW helicopter,5.0
Germany,Brunei,1976.0,2,6.0,ship engine,2.0
United States,Brunei,1995.0,3,4.0,transport helicopter,3.0
Indonesia,Brunei,1995.0,1,1.0,transport aircraft,3.0
United States,Brunei,1981.0,1,3.0,helicopter,3.0
United States,Brunei,1968.0,1,2.0,helicopter,3.0
Germany,Brunei,1979.0,1,6.0,light helicopter,2.0
United Kingdom,Brunei,1976.0,1,16.0,light tank,5.0
Germany,Brunei,2010.0,1,1.0,patrol craft,2.0
Australia,Brunei,1995.0,1,2.0,landing craft,3.0
Singapore,Brunei,1976.0,2,3.0,FAC,3.0
Singapore,Brunei,2023.0,1,2.0,patrol craft,2.0
United States,Brunei,1986.0,1,2.0,transport helicopter,3.0
United Kingdom,Brunei,1970.0,1,1.0,transport aircraft,3.0
Germany,Brunei,2007.0,1,3.0,corvette,5.0
France,Brunei,1998.0,1,48.0,portable SAM,3.0
Spain,Brunei,2022.0,1,0.0,transport aircraft,3.0
United States,Bulgaria,2022.0,1,0.0,FGA aircraft,8.0
United States,Bulgaria,2014.0,1,10.0,APC,3.0
United States,Bulgaria,2008.0,1,7.0,APC,3.0
Switzerland,Bulgaria,2003.0,1,6.0,trainer aircraft,2.0
Switzerland,Bulgaria,2003.0,1,1.0,light transport aircraft,2.0
United States,Bulgaria,1999.0,1,6.0,light helicopter,2.0
Soviet Union,Bulgaria,1952.0,2,385.0,towed gun,3.0
East Germany (GDR),Bulgaria,1963.0,1,1.0,tug,1.0
Soviet Union,Bulgaria,1989.0,2,2.0,patrol craft,2.0
Soviet Union,Bulgaria,1990.0,1,1.0,corvette,5.0
Czechoslovakia,Bulgaria,1989.0,1,18.0,trainer/combat aircraft,5.0
Soviet Union,Bulgaria,1970.0,2,4.0,MCM ship,3.0
Soviet Union,Bulgaria,1982.0,1,4.0,reconnaissance aircraft,3.0
Soviet Union,Bulgaria,1983.0,1,2.0,MCM ship,3.0
Soviet Union,Bulgaria,1971.0,2,2.0,submarine,8.0
Soviet Union,Bulgaria,1953.0,1,3.0,minesweeper,2.0
Soviet Union,Bulgaria,1963.0,1,6.0,patrol craft,2.0
Soviet Union,Bulgaria,1957.0,1,2.0,patrol craft,2.0
Belgium,Bulgaria,2008.0,2,2.0,frigate,5.0
United States,Bulgaria,2006.0,3,6.0,aircraft engine,2.0
Belgium,Bulgaria,2008.0,1,1.0,MCM ship,3.0
Russia,Bulgaria,1995.0,1,100.0,IFV,5.0
Netherlands,Bulgaria,2019.0,1,2.0,MCM ship,3.0
Italy,Bulgaria,2006.0,3,3.0,transport aircraft,3.0
Belgium,Bulgaria,2004.0,1,1.0,frigate,5.0
Soviet Union,Bulgaria,1957.0,2,2.0,frigate,5.0
Soviet Union,Bulgaria,1958.0,1,2.0,submarine,8.0
United States,Bulgaria,2019.0,1,0.0,FGA aircraft,8.0
Slovakia,Bulgaria,2015.0,1,0.0,reconnaissance AV,3.0
Norway,Bulgaria,2018.0,1,1.0,helicopter,3.0
France,Bulgaria,2022.0,1,0.0,BVRAAM,8.0
France,Bulgaria,2022.0,1,0.0,SAM system,5.0
Russia,Bulgaria,1995.0,1,100.0,tank,8.0
France,Bulgaria,2005.0,2,3.0,helicopter,3.0
Sweden,Bulgaria,2022.0,1,0.0,anti-ship/land-attack missile,8.0
Poland,Bulgaria,2022.0,1,2.0,turbofan,2.0
Canada,Bulgaria,2003.0,1,6.0,aircraft engine,2.0
Germany,Bulgaria,2020.0,1,0.0,frigate,5.0
Spain,Burkina Faso,2019.0,1,1.0,transport aircraft,3.0
France,Burkina Faso,1964.0,1,2.0,light aircraft,2.0
United Kingdom,Burkina Faso,1981.0,1,1.0,transport aircraft,3.0
Poland,Burkina Faso,2010.0,1,2.0,light aircraft,2.0
South Africa,Burkina Faso,2018.0,1,3.0,APC,3.0
Romania,Burkina Faso,2009.0,1,5.0,self-propelled MRL,5.0
France,Burkina Faso,1977.0,1,1.0,trainer/light aircraft,2.0
Taiwan,Burkina Faso,2017.0,1,2.0,helicopter,3.0
Qatar,Burkina Faso,2019.0,1,24.0,APC,3.0
United Kingdom,Burkina Faso,1976.0,1,1.0,transport aircraft,3.0
United States,Burkina Faso,2006.0,1,1.0,light transport aircraft,2.0
Russia,Burkina Faso,2005.0,1,2.0,combat helicopter,5.0
Spain,Burkina Faso,2020.0,1,5.0,light helicopter,2.0
South Africa,Burundi,2019.0,1,10.0,APC,3.0
United States,Burundi,2014.0,1,10.0,APC,3.0
Malawi,Cabo Verde,1999.0,1,1.0,light transport aircraft,2.0
Germany,Cabo Verde,1998.0,1,1.0,minesweeper,2.0
Netherlands,Cabo Verde,2010.0,1,1.0,patrol craft,2.0
Spain,Cabo Verde,2008.0,1,1.0,transport aircraft,3.0
Czechia,Cambodia,1994.0,1,40.0,tank,8.0
Soviet Union,Cambodia,1990.0,1,15.0,tank,8.0
Soviet Union,Cambodia,1990.0,1,5.0,transport helicopter,3.0
Soviet Union,Cambodia,1980.0,1,2.0,transport helicopter,3.0
China,Cambodia,1967.0,1,2.0,light transport aircraft,2.0
United States,Cambodia,1971.0,2,32.0,helicopter,3.0
China,Cambodia,2011.0,1,12.0,helicopter,3.0
China,Cambodia,2012.0,1,2.0,transport aircraft,3.0
France,Cambodia,1954.0,1,1.0,landing craft,3.0
Ukraine,Cambodia,1997.0,1,2.0,transport helicopter,3.0
Japan,Cambodia,1954.0,1,7.0,ground attack aircraft,8.0
United States,Cameroon,1982.0,1,1.0,transport aircraft,3.0
United States,Cameroon,2022.0,1,10.0,vehicle engine,2.0
United States,Cameroon,1989.0,1,3.0,light helicopter,2.0
France,Cameroon,1990.0,1,2.0,trainer aircraft,2.0
France,Cameroon,1987.0,1,2.0,helicopter,3.0
France,Cameroon,1987.0,1,4.0,light helicopter,2.0
France,Cameroon,1974.0,1,1.0,patrol craft,2.0
Canada,Cameroon,1981.0,1,2.0,transport aircraft,3.0
France,Cameroon,1980.0,1,1.0,FAC,3.0
France,Cameroon,1978.0,1,2.0,trainer aircraft,2.0
United Kingdom,Cameroon,1976.0,1,2.0,transport aircraft,3.0
United Kingdom,Cameroon,1961.0,1,8.0,APV,3.0
United States,Cameroon,1976.0,1,2.0,transport aircraft,3.0
Spain,Cameroon,2012.0,1,1.0,transport aircraft,3.0
Israel,Cameroon,2000.0,1,6.0,towed gun,3.0
France,Cameroon,2012.0,1,1.0,patrol craft,2.0
United States,Cameroon,2016.0,1,2.0,light transport aircraft,2.0
Israel,Cameroon,2015.0,1,8.0,APC,3.0
Israel,Cameroon,2014.0,1,8.0,APC,3.0
United States,Cameroon,2015.0,1,6.0,APC,3.0
Canada,Cameroon,1982.0,1,2.0,transport aircraft,3.0
South Africa,Cameroon,1996.0,1,4.0,ground attack aircraft,8.0
China,Cameroon,2013.0,1,2.0,patrol craft,2.0
France,Cameroon,1981.0,1,6.0,trainer/combat aircraft,5.0
United States,Canada,2007.0,2,4.0,heavy transport aircraft,5.0
Germany,Canada,2017.0,1,0.0,replenishment ship,2.0
UAE,Canada,2022.0,1,0.0,transport aircraft,3.0
United States,Canada,2023.0,1,0.0,ASW aircraft,5.0
France,Canada,2023.0,1,0.0,tanker/transport aircraft,3.0
Greece,Canada,2015.0,1,1.0,cargo ship,2.0
United States,Canada,2023.0,1,0.0,armed UAV,5.0
France,Canada,2023.0,1,0.0,air refuel system,2.0
United Kingdom,Canada,2023.0,1,0.0,turbofan,2.0
United States,Canada,1996.0,1,2.0,transport aircraft,3.0
France,Canada,1983.0,5,12.0,ship engine,2.0
United States,Canada,1983.0,5,24.0,gas turbine,2.0
South Africa,Canada,2006.0,1,25.0,APC,3.0
United Kingdom,Canada,2005.0,3,12.0,towed gun,3.0
France,Canada,2003.0,1,6.0,UAV,3.0
United States,Canada,2002.0,1,12.0,SAM,5.0
United States,Canada,2002.0,1,2.0,trainer aircraft,2.0
South Africa,Canada,1999.0,1,2.0,APC,3.0
United States,Canada,1998.0,2,18.0,SAM,5.0
United States,Canada,1997.0,1,24.0,trainer aircraft,2.0
Italy,Canada,1968.0,1,44.0,towed gun,3.0
United States,Canada,1970.0,1,66.0,fighter aircraft,8.0
France,Canada,1996.0,1,1600.0,anti-tank missile,5.0
United Kingdom,Canada,1952.0,1,2.0,transport aircraft,3.0
United States,Canada,1961.0,1,8.0,FGA aircraft,8.0
Germany,Canada,1987.0,1,9.0,AEV,2.0
Netherlands,Canada,1986.0,3,4.0,air search radar,3.0
Netherlands,Canada,1986.0,3,4.0,air search radar,3.0
United States,Canada,1991.0,1,3.0,anti-ship missile,8.0
United States,Canada,1990.0,1,5.0,transport aircraft,3.0
United States,Canada,1989.0,1,3.0,ASW aircraft,5.0
United Kingdom,Canada,1952.0,1,1.0,aircraft carrier,13.0
United Kingdom,Canada,1962.0,3,3.0,submarine,8.0
United States,Canada,1960.0,2,4.0,light aircraft,2.0
United States,Canada,1961.0,1,66.0,fighter aircraft,8.0
United States,Canada,1984.0,1,2.0,transport aircraft,3.0
United States,Canada,1980.0,1,14.0,light helicopter,2.0
United States,Canada,1970.0,1,4.0,transport aircraft,3.0
Germany,Canada,1976.0,1,6.0,armoured bridgelayer,2.0
Germany,Canada,1976.0,1,8.0,ARV,2.0
Australia,Canada,2004.0,3,8.0,patrol craft,2.0
United Kingdom,Canada,1953.0,2,14.0,ship engine,2.0
Germany,Canada,2010.0,1,2.0,trainer aircraft,2.0
Germany,Canada,2007.0,1,2.0,trainer aircraft,2.0
Germany,Canada,2005.0,1,9.0,trainer aircraft,2.0
United Kingdom,Canada,1990.0,1,5.0,air refuel system,2.0
Norway,Canada,2006.0,1,25.0,APC turret,2.0
United States,Canada,1972.0,1,2.0,air refuel system,2.0
United States,Canada,1971.0,1,1.0,transport aircraft,3.0
Norway,Canada,2005.0,1,50.0,APC turret,2.0
United States,Canada,2008.0,1,48.0,APC,3.0
Kyrgyzstan,Canada,2008.0,1,6.0,transport helicopter,3.0
United States,Canada,2007.0,1,10.0,APC,3.0
United States,Canada,2016.0,1,5.0,UAV,3.0
United States,Canada,2021.0,1,0.0,combat aircraft radar,3.0
UAE,Canada,1986.0,1,2.0,transport aircraft,3.0
Sweden,Canada,2019.0,1,0.0,air search radar,3.0
United Kingdom,Canada,2019.0,1,0.0,frigate,5.0
South Africa,Canada,2005.0,1,50.0,APC,3.0
United States,Canada,2011.0,1,533.0,guided bomb,5.0
United States,Canada,1980.0,1,21.0,light aircraft,2.0
United States,Canada,1989.0,1,3.0,light helicopter,2.0
